address,latitude,longitude,date,width,length,depth,category
전라남도 완도군 약산면 지방도 830호선 보건지소 뒤,,,2018-06-20,1.3,1.3,1,지반 시공불량
경상북도 포항시 북구 청하면 덕장리 중고차 200m 전,,,2018-06-20,6,12,0.6,도로 노후화
경기도 여주시 흥문동 427-7 삼한아파트 진입로,,,2018-06-20,1,1,0.5,집중강우
충청북도 청주시 청원구  청주내덕노인복지관 내 주차장,,,2018-06-21,1.5,2,1,맨홀 파손
충청북도 충주시  대원9길27,,,2018-06-21,0.5,3,0.7,우수관로 시공불량
경상북도 영주시 휴천동 328-3번지 앞,36.8095729,128.6220829,2018-06-21,1,1,1,우수관로 파손
충청북도 충주시  동수10길26,,,2018-06-24,1.2,1.2,2,우수관로 파손
광주광역시 광산구 월곡동 620번지,35.1733306,126.8082152,2018-06-25,0.8,0.6,1.2,하수관로 파손
충청북도 청주시 청원구 율량동 1052,36.6673895,127.4924088,2018-06-26,2,3,2,하수관로 파손
경기도 여주시 산북면 광여로 1526,37.4190007,127.4658034,2018-06-26,1,2,0.1,상수관로 시공불량
"제주특별자치도 제주시 삼도일동 서광로 15길 27
 재활용센터 앞",,,2018-06-27,0.5,0.5,1,하수관로 시공불량
제주특별자치도 제주시 용담이동 다호길 131,,,2018-06-27,0.5,1,1,타 지하시설물 시공불량
경기도 용인시 수지구 풍덕천동 69-112번지,37.3247795,127.0998373,2018-06-27,1,1,1,맨홀 파손
경기도 부천시 소사동 18-38,37.4849031,126.793246,2018-06-28,0,0,0.5,하수관로 노후화
경기도 안양시 동안구 호계동 1014-1,37.386567,126.9454961,2018-06-28,1,1,1,하수관로 파손
충청북도 청주시 상당구 남일면 효촌리 주원애뜰앞 사거리,,,2018-06-30,1,3,0.3,하수관로 시공불량
경상북도 구미시 신평동 168-16(구미대로32길 1 인근),36.1206996,128.3631234,2018-06-30,1,1.5,1.5,하수관로 노후화
부산광역시 사하구  반도보라아파트 102동 앞,,,2018-07-01,1.5,3,1.5,하수관로 파손
대전광역시 서구 월평동 진달래네거리 갑천초등학교 방면,,,2018-07-01,2,5,2,"복합요인 (하수관로 파손, 집중강우)"
강원특별자치도 원주시 우산동 한지공장 앞,,,2018-07-03,3.3,4.2,1,지반 시공불량
대전광역시 서구 월평동 백합네거리 월평동 265번지 방면,,,2018-07-03,1,0.5,1,하수관로 시공불량
인천광역시 연수구  인천타워대로 155 인근,,,2018-07-04,5,2,6,하수관로 파손
강원특별자치도 원주시 흥업면 흥업리 181,37.2981949,127.92191,2018-07-05,2,2.8,1,지반 시공불량
경상남도 진주시 상평동 구 삼삼주유소 사거리,,,2018-07-06,3,1.5,3,폐수관로 파손
충청남도 공주시 유구읍 신영리 522,36.5639696,126.9660346,2018-07-10,0.5,0.5,1,상수관로 시공불량
부산광역시 동래구  번영로 서울방향 원동IC 300m 지난지점 1차로,,,2018-07-11,3.5,3.5,3.6,연약지반
강원특별자치도 원주시 명륜동 교촌길2,,,2018-07-12,2.7,3.2,1.5,상수관로 파손
경상북도 포항시 북구 청하면 청하삼거리 현대북포항서비스 앞,,,2018-07-12,5.5,2.4,0.04,도로 노후화
경상북도 포항시 북구 청하면 포항cc 입구 전방,,,2018-07-12,1.1,1.6,0.04,도로 노후화
전북특별자치도 정읍시 이평면 산매리 968번지 근처(덕천천),35.6458482,126.8168506,2018-07-13,1.5,2.3,1.5,타 지하시설물 시공불량
광주광역시 북구 양산동 283-20번지 주변,35.2056772,126.8724438,2018-07-15,0,0,1,맨홀 노후화
경기도 수원시 팔달구  수원시청역 사거리 교차로 내,,,2018-07-15,1,1,0.15,타 지하시설물 시공불량
부산광역시 연제구  중앙대로1028,,,2018-07-16,1,1,0.5,지반 시공불량
경기도 부천시 원미동 76-1번지,37.4951762,126.7917478,2018-07-16,2,4,1.5,하수관로 파손
인천광역시 중구  축항대로 234 연안아파트 앞 도로,,,2018-07-17,0.4,0.4,1,하수관로 파손
경기도 부천시 소사동 소사동3-4,,,2018-07-17,0,0,0.5,맨홀 노후화
경기도 부천시 춘의동 75-9번지,37.5047039,126.7900493,2018-07-17,2,1.8,0.2,하수관로 파손
경상북도 포항시 북구 청하면 청하삼거리 후방 명가짜장 진입로,,,2018-07-18,2.6,17,0.13,도로 노후화
부산광역시 수영구  광안해변로277번길 3 앞,,,2018-07-19,0.7,0.8,1,하수관거 파손
부산광역시 연제구  월드컵대로 233,,,2018-07-20,1,1,1.5,지반 시공불량
전라남도 영광군 대마면 원흥리 17-7 버스승강장 옆 마을 진입로,35.3024722,126.5671466,2018-07-20,2,1,0.1,상수관로 시공불량
